0.0;0.0;0.0;0.0;0.0|
0.0;0.0;0.1571;0.1885;0.0|1.4384,0.3015;1.3609,0.3862;1.0676,0.165;1.3885,0.1848;1.2618,0.4462;1.7056,0.1221;1.7298,0.4093;1.7311,0.2781;1.5614,0.3481;1.8735,0.3989;1.854,0.2716
0.0628;0.1885;0.0;0.0;0.0|0.2415,0.2813;0.3222,0.3437;0.5914,0.2181;0.7514,0.1314;0.9019,0.3199;0.7556,0.2798;0.6329,0.3462;0.8534,0.1015
0.0;0.0;0.1571;0.0;0.0628|1.1291,0.1054;1.424,0.2489;1.1017,0.2638;1.1548,0.4295;1.4087,0.0879;2.1114,0.0674;2.4228,0.254
0.0;0.0;0.0;0.0628;0.1885|1.846,0.0948;1.8948,0.2308;2.3696,0.3392;2.3642,0.2342;2.1815,0.1917;2.3955,0.1203;2.0732,0.0925;2.1898,0.379
0.0;0.0628;0.0;0.0;0.0|0.7059,0.3231;0.6397,0.4445
0.0;0.0;0.0;0.0;0.2513|2.2394,0.2785;2.0925,0.2637;2.0742,0.4115;2.1372,0.1379;2.3366,0.3759;2.4085,0.2464;2.3022,0.0618;2.2501,0.4292
0.0;0.0314;0.1257;0.0;0.0|0.7946,0.3997;1.37,0.2908;1.1374,0.2361;1.1211,0.0918;1.2254,0.3923
0.0;0.0;0.0;0.0;0.0|
0.0;0.2827;0.0;0.0314;0.0|0.6326,0.3336;0.6709,0.1792;0.936,0.1644;0.8403,0.0991;0.5676,0.4245;0.8001,0.4051;0.8675,0.3171;0.9458,0.0616;0.6396,0.0615;1.6071,0.177
0.0;0.0;0.1885;0.0;0.0|1.3558,0.0623;1.3448,0.402;1.0912,0.2382;1.224,0.2745;1.3365,0.2649;1.0521,0.0947
0.2199;0.0;0.0;0.0942;0.0|0.3141,0.1994;0.1241,0.3606;0.1819,0.2338;0.4264,0.0931;0.1508,0.1286;0.4455,0.2266;0.3442,0.3151;1.7172,0.0771;1.6261,0.3907;1.6821,0.268
0.1885;0.0;0.1885;0.0;0.0|0.133,0.1752;0.1228,0.333;0.3725,0.4204;0.2751,0.3458;0.2641,0.2415;0.4149,0.1627;1.1309,0.1044;1.3228,0.3044;1.2878,0.4341;1.4186,0.1653;1.146,0.4492;1.2697,0.0793
0.0;0.0;0.0;0.0;0.0|
0.0942;0.0;0.0;0.0;0.0|0.3711,0.2938;0.1224,0.3372;0.0662,0.1798
0.0;0.0;0.0;0.0;0.0|
0.0;0.0;0.1257;0.1257;0.1571|1.1719,0.1326;1.3849,0.1664;1.4038,0.3661;1.4068,0.0596;1.6333,0.2241;1.9434,0.31;1.8078,0.1754;1.5552,0.3733;2.3716,0.3688;2.3588,0.13;2.2547,0.2253;2.2456,0.061;2.1365,0.1241
0.0;0.0;0.1257;0.0;0.2199|1.1749,0.3116;1.428,0.1565;1.2519,0.0825;1.1246,0.1903;2.0825,0.397;2.4019,0.42;2.0553,0.0772;2.331,0.2134;2.1735,0.243;2.2717,0.4304;2.335,0.3177
0.0;0.0;0.2199;0.0;0.0314|1.4206,0.2696;1.2844,0.1118;1.2945,0.3064;1.0617,0.3221;1.3593,0.4047;1.2126,0.2327;1.0994,0.1922;2.2043,0.4481
0.2513;0.0;0.2199;0.0314;0.0|0.1635,0.2165;0.3002,0.1701;0.3182,0.0622;0.2541,0.4358;0.4178,0.4126;0.4108,0.2352;0.0791,0.4479;0.1446,0.073;1.0692,0.2171;1.4077,0.1124;1.0505,0.4289;1.3751,0.3984;1.3394,0.2893;1.1604,0.3473;1.1816,0.2027;1.6496,0.2256
0.0;0.0;0.0942;0.2199;0.0628|1.3618,0.4202;1.127,0.275;1.0663,0.4265;1.7794,0.379;1.8276,0.1787;1.6366,0.2877;1.6917,0.0675;1.9128,0.2466;1.6187,0.143;1.7428,0.2708;2.102,0.3268;2.1692,0.4112
0.0;0.0;0.0;0.2199;0.0|1.6056,0.2868;1.6615,0.1579;1.8494,0.3646;1.7947,0.0798;1.8853,0.1391;1.7327,0.252;1.895,0.2617
0.0;0.2199;0.2199;0.0942;0.0|0.9322,0.1304;0.6345,0.4445;0.5865,0.0869;0.7795,0.2193;0.596,0.2096;0.692,0.3348;0.8097,0.3304;1.1544,0.3199;1.4497,0.0877;1.136,0.2013;1.1924,0.0979;1.4463,0.4346;1.3407,0.0596;1.2508,0.4347;1.5565,0.2052;1.7393,0.2634;1.809,0.4044
0.2513;0.0;0.0;0.0;0.0|0.1473,0.2189;0.2747,0.1295;0.1735,0.0925;0.0662,0.1409;0.4333,0.4358;0.0782,0.4318;0.3576,0.0606;0.4164,0.19
0.1571;0.0;0.0;0.0;0.0|0.2616,0.1046;0.4473,0.1158;0.0617,0.4149;0.2822,0.2228;0.4266,0.2895
0.0;0.0;0.0;0.0;0.1571|2.2451,0.1824;2.0563,0.2674;2.1887,0.266;2.3858,0.1035;2.104,0.1625
