0.0;0.0;0.0;0.0;0.0|
0.0;0.0;0.0;0.0;0.1885|2.2749,0.2534;2.2561,0.3784;2.4193,0.1074;2.1007,0.0571;2.0967,0.1748;2.2598,0.1253
0.0;0.0;0.0;0.0;0.1571|2.3829,0.3686;2.0578,0.2478;2.1684,0.0939;2.2716,0.1373;2.211,0.238
0.0;0.0;0.1571;0.0;0.0|1.4161,0.2021;1.4487,0.339;1.081,0.3382;1.194,0.2634;1.3035,0.2128
0.0;0.0;0.1885;0.0;0.0|1.1937,0.4484;1.088,0.2268;1.3183,0.0823;1.4201,0.1829;1.3168,0.3005;1.4263,0.3337
0.0;0.1885;0.0;0.0;0.0|0.693,0.3438;0.8227,0.3748;0.6973,0.1709;0.936,0.4351;0.5904,0.2409;0.8994,0.2324
0.0;0.0;0.0;0.0;0.0314|2.3489,0.2246
0.0;0.0;0.0;0.1571;0.0|1.7527,0.3176;1.5692,0.0576;1.7154,0.4176;1.6437,0.2419;1.8485,0.1591
0.0;0.0;0.0;0.0;0.1885|2.1677,0.4038;2.3403,0.2531;2.3128,0.3964;2.4407,0.1736;2.1833,0.2568;2.2372,0.0894
0.0;0.0;0.0942;0.0;0.0|1.2185,0.2434;1.138,0.1422;1.3852,0.1134
0.0;0.0;0.0;0.0;0.0|
0.0;0.0;0.0;0.0;0.0942|2.4311,0.1126;2.1968,0.2047;2.352,0.3556
0.2199;0.0;0.0;0.0;0.0|0.3712,0.1684;0.2548,0.4241;0.0583,0.241;0.2518,0.2451;0.1497,0.3676;0.1255,0.0714;0.2122,0.1255
0.0;0.1885;0.0;0.0;0.0|0.6964,0.051;0.8191,0.3857;0.7226,0.3582;0.7583,0.152;0.9211,0.2255;0.9108,0.1219
0.0;0.1571;0.0;0.0;0.0|0.8446,0.0775;0.6542,0.449;0.8929,0.4409;0.8628,0.2013;0.6651,0.2052
0.0;0.0;0.0;0.0;0.1885|2.1446,0.3427;2.3959,0.2714;2.0856,0.1605;2.249,0.1425;2.1946,0.4329;2.4186,0.1435
0.0;0.0;0.0;0.0;0.0|
0.0;0.0;0.0;0.0;0.1571|2.1113,0.4174;2.1705,0.134;2.2751,0.0564;2.4341,0.0652;2.1101,0.22
0.0;0.1571;0.0;0.0;0.0|0.5657,0.0869;0.6059,0.3852;0.8914,0.4182;0.6348,0.2218;0.9054,0.0674
