sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.1571;0.1885;0.0;-406.04405015;-2.609e-05;-260.31697053;-1.912e-05;-595.07010304;0.00055027;1221.45274744;-0.02070807
0.0628;0.1885;0.0;0.0;0.0;34.75133119;-7.5e-06;-548.95669031;-8.045e-05;-195.83382561;-6.218e-05;2280.04022305;-0.05127792
0.0;0.0;0.1571;0.0;0.0628;-1114.91476013;-0.00064341;-926.57798539;-0.00023407;-447.52666345;-0.00010282;-200.53778172;-0.00393479
0.0;0.0;0.0;0.0628;0.1885;454.49255275;-0.00048431;-550.76358002;-0.00024178;-88.26188954;-1.172e-05;-267.49929569;-0.00125794
0.0;0.0628;0.0;0.0;0.0;229.02505547;-9.709e-05;2205.27749101;-0.00117056;-773.5271143;0.00314632;444.52097242;0.00256766
0.0;0.0;0.0;0.0;0.2513;402.63824926;-0.00032348;-1843.27052661;-0.00101859;-345.38044828;-7.332e-05;-23.63177378;-0.00065949
0.0;0.0314;0.1257;0.0;0.0;-1438.86677308;-0.00297597;4720.8543999;-0.00614889;-335.29011901;-5.273e-05;417.11425177;-0.00162725
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2827;0.0;0.0314;0.0;-126.78768798;1.259e-05;-828.29668433;-0.00011575;-791.38214903;0.0003204;-626.67155596;0.00089399
0.0;0.0;0.1885;0.0;0.0;168.26978674;-6.33e-05;677.53206528;-0.00015085;-244.54445553;-2.638e-05;-280.59624087;-0.00293185
0.2199;0.0;0.0;0.0942;0.0;-922.53908476;-0.00117284;-590.6309472;-0.0001114;-206.01760049;5.15e-05;-368.69042092;0.00302244
0.1885;0.0;0.1885;0.0;0.0;-76.82722897;2.1e-06;-241.47907538;-9.1e-06;-616.95217975;0.00192154;-12745.4155369;-2.15959348
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0942;0.0;0.0;0.0;0.0;121.9314662;-3.766e-05;2731.55237772;-0.00209003;-412.14768207;-2.079e-05;-153.27004702;0.02369062
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.1257;0.1257;0.1571;-452.49178868;-0.00024532;-578.1551459;-0.00013257;-283.61417488;-7.735e-05;-25497.50669115;113.02478226
0.0;0.0;0.1257;0.0;0.2199;13606.32770552;-0.11476262;2775.1238356;-0.00241994;2188.11132675;-0.02219632;-64.90015355;-0.00515173
0.0;0.0;0.2199;0.0;0.0314;63.78897347;-1.99e-05;504.75681063;-9.871e-05;-109.65421626;0.00231325;26.11505163;-0.00126083
0.2513;0.0;0.2199;0.0314;0.0;-83.27319395;1.45e-05;-439.76969697;-4.032e-05;-5.93075015;0.00012014;103.85353021;-0.00012895
0.0;0.0;0.0942;0.2199;0.0628;-355.26543952;-0.00021974;1422.0359348;-0.00073861;-92.14880711;2.844e-05;-244.54663591;0.00032295
0.0;0.0;0.0;0.2199;0.0;278.96899071;-0.00014917;608.90609816;-0.00013177;-225.55671106;1.144e-05;-391.67589685;0.00231274
0.0;0.2199;0.2199;0.0942;0.0;-160.70962748;7.357e-05;-415.27296327;-4.577e-05;-673.29817352;-0.00066413;937.5077595;-0.01122725
0.2513;0.0;0.0;0.0;0.0;-81.63217546;1.097e-05;-662.85320655;-6.625e-05;-433.69693112;0.00012777;656.08458363;-0.00470459
0.1571;0.0;0.0;0.0;0.0;-175.10522622;8.16e-06;-751.58084792;-0.00018127;-435.48675237;-0.00014892;465.903513;-0.00072183
0.0;0.0;0.0;0.0;0.1571;140.8026792;-8.103e-05;401.17719432;-4.082e-05;-353.63535677;-0.00010476;406.53338425;-0.00133475
0.0;0.1571;0.0;0.2513;0.2513;-998.10165788;0.00019337;-1551.67228331;6.623e-05;-216.58253726;0.0001761;98.94921731;0.00041056
0.0;0.0;0.1885;0.1885;0.0;-88.18255073;9.57e-06;-978.6666853;-0.00042195;1373.62399499;0.01713157;44.21973052;-0.0005109
