sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.1885;480.75366373;-0.00039595;1086.15086328;-0.00041396;3450.43952606;-0.07725509;451.3269927;-0.00033805
0.0;0.0;0.0;0.0;0.1571;425.48594859;-0.00028218;-1506.82245503;-0.00063929;-1554.63419401;-0.0012818;-6.46105641;-0.00234527
0.0;0.0;0.1571;0.0;0.0;87.20735484;-2.928e-05;6820.41617703;-0.01300168;-1335.61981664;-0.00105992;354.34451726;-0.00155524
0.0;0.0;0.1885;0.0;0.0;684.87757071;-0.00067012;-1015.57346989;-0.00029728;-189.62332731;-3.27e-05;-93.69267578;-0.00128737
0.0;0.1885;0.0;0.0;0.0;-386.63629048;-0.00011891;700.0260112;-0.00014189;-900.04885213;-0.00025309;-124.02123309;-0.00276482
0.0;0.0;0.0;0.0;0.0314;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.0;0.0;0.0;0.1571;0.0;2237.22014628;-0.00584029;833.63083558;-0.00023226;-555.08631844;-0.000201;-117.19955988;-0.00897297
0.0;0.0;0.0;0.0;0.1885;334.70654392;-0.00024745;725.24742753;-0.00023365;-289.9387528;-5.227e-05;311.66935975;-0.00219364
0.0;0.0;0.0942;0.0;0.0;183.25511698;-7.734e-05;866.39861018;-0.00022373;2067.77982661;-0.00547119;76.55970847;-0.001713
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0942;309.42851524;-0.00019208;878.11857831;-0.00020512;-282.30323485;-3.671e-05;395.59879687;-0.00019441
0.2199;0.0;0.0;0.0;0.0;-1905.77479604;-0.00350698;-2199.65131866;-0.00116074;-394.58359235;-0.00010105;-484.02789322;0.00704031
0.0;0.1885;0.0;0.0;0.0;-148.05170093;-1.5e-07;-1128.76787575;-0.00035774;-328.52439362;-1.943e-05;348.6055524;-0.00116414
0.0;0.1571;0.0;0.0;0.0;-127.4270433;5.3e-06;-923.98258691;-0.00024166;-1492.91407935;-0.0015056;384.05625294;-0.00016488
0.0;0.0;0.0;0.0;0.1885;571.7361377;-0.00045006;-1383.2270835;-0.00051122;-312.83594784;-9.07e-05;716.47088415;-0.00249209
