sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.1571;0.1885;0.0;1431.56236617;-0.31805769;4192.08333165;-0.93116611;-718.76195032;-0.08797733;1265.36380906;-0.81661024
0.0628;0.1885;0.0;0.0;0.0;295.83589051;-0.01211054;3049.75836527;-0.35007182;-780.05421069;-0.04165535;1232.07839618;-0.63317121
0.0;0.0;0.1571;0.0;0.0628;1023.80795556;-0.12058117;2579.00174692;-0.21209442;-734.67768263;-0.02022713;1104.97720045;2.09473712
0.0;0.0;0.0;0.0628;0.1885;471.18759078;-0.0094809;2212.1155195;-0.16457462;-591.05716641;-0.02587636;849.91809016;-0.29889015
0.0;0.0628;0.0;0.0;0.0;387.3682842;-0.00284737;1549.50805811;-0.01273272;-746.20686518;-0.01005501;568.60704928;-0.0159895
0.0;0.0;0.0;0.0;0.2513;443.50627205;-0.00732728;2084.71930167;-0.16347034;-619.30747066;-0.0322286;930.14072103;-0.08850857
0.0;0.0314;0.1257;0.0;0.0;639.94265104;-0.03924293;1847.6351264;-0.06419049;-732.32605244;-0.0214427;265.28173554;1.81184149
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2827;0.0;0.0314;0.0;-511.5534311;-0.07342201;5016.43089873;-1.11354882;-748.36974698;-0.02360179;854.45256022;-0.20359686
0.0;0.0;0.1885;0.0;0.0;455.42157199;-0.01700562;1582.41007031;-0.04110735;-624.7988643;-0.02029202;1003.53144095;3.78499914
0.2199;0.0;0.0;0.0942;0.0;704.04656101;-0.09745959;5853.77776906;-1.73961471;-532.99169325;-0.02423611;1012.2960872;-0.58154295
0.1885;0.0;0.1885;0.0;0.0;-3804.34209735;-3.54022114;-13876.01016129;-12.14617471;-546.21973493;-0.02272736;1219.24004633;-0.96960965
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0942;0.0;0.0;0.0;0.0;350.24475554;-0.00520868;1642.78271782;-0.02674292;-748.81903197;-0.01247699;596.38428025;-0.04607229
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.1257;0.1257;0.1571;932.42103173;-0.11835238;3762.42207086;-0.80610838;-3940.96216944;-38.72838189;2433.66837449;-5.0910662
0.0;0.0;0.1257;0.0;0.2199;652.20717975;-0.04259095;2085.48232732;-0.1779709;-704.75097923;-0.0494173;1020.16323556;-0.50255523
0.0;0.0;0.2199;0.0;0.0314;383.9542607;-0.01511952;1807.97198486;-0.09511847;-615.08723764;-0.02642971;989.23674512;-0.37734807
0.2513;0.0;0.2199;0.0314;0.0;-304.18626732;-0.02550536;19647.79224237;-27.72338107;-522.80092374;-0.00105585;3920.06365487;-13.10332151
0.0;0.0;0.0942;0.2199;0.0628;1011.36239036;-0.15355556;2236.98126848;-0.25065504;-531.1303229;-0.02910567;2496.81309322;-5.04315041
0.0;0.0;0.0;0.2199;0.0;461.52188262;-0.01390552;1541.3411589;-0.05623126;-598.3569159;-0.02283353;917.49772681;0.09151908
0.0;0.2199;0.2199;0.0942;0.0;-702.1333356;-0.12909852;4483.58537653;-1.36305271;-563.57213978;-0.07871201;-15573.90369791;-230.59731646
0.2513;0.0;0.0;0.0;0.0;-316.54145609;-0.03260499;3546.97697544;-0.44951431;-663.3761805;-0.02063465;799.1509253;0.13649123
0.1571;0.0;0.0;0.0;0.0;49068.59125065;-431.16345386;2534.25546129;-0.15588869;-830.01319874;-0.09697777;87.82207765;4.72586556
0.0;0.0;0.0;0.0;0.1571;366.13522965;-0.00098396;1385.52322023;-0.02766569;-604.63993715;-0.10308296;745.49420786;-0.22464472
0.0;0.1571;0.0;0.2513;0.2513;-8763.51217152;-12.60805846;47971.72528783;-201.55040499;-495.27475931;-0.02990948;-1657.78026146;-4.10617817
0.0;0.0;0.1885;0.1885;0.0;-3888.59207656;-3.02181048;2791.48082124;-0.4111056;-563.10127542;-0.02871197;1948.99520549;-2.5671068
0.0;0.0;0.0942;0.0;0.1885;556.24305804;-0.02374406;2244.08547909;-0.17808172;-476.52923368;-0.15460868;956.26375356;-0.31542185
0.0;0.0;0.0;0.1885;0.1257;494.34757833;-0.01801317;2721.8548125;-0.33184884;-521.97828485;-0.0261696;1500.12998392;-1.06458357
0.0;0.0;0.1885;0.0628;0.0628;2035.45960277;-0.7115802;3287.68993064;-0.51251521;-657.06204141;-0.08904457;1268.58199505;-0.89640502
0.0;0.0;0.2513;0.1257;0.0;1938.33609221;-0.78609743;2137.91216593;-0.21933177;-636.07392119;-0.03457778;1705.09715634;-2.04002365
0.0;0.1571;0.1257;0.1257;0.0;495.19903536;-0.05211051;2734.70956358;-0.39303546;-596.88751369;-0.03049478;4664.08566054;-21.43631536
0.0;0.0;0.1885;0.0;0.2199;6013.4519572;-5.66762739;6495.38458235;-2.60727466;-651.95931472;-0.05246832;1589.01814577;-1.727502
0.0;0.0;0.0;0.1885;0.0;626.38738969;-0.02857298;2044.36919973;-0.10601488;-602.83034742;-0.02676455;915.5843944;0.74092896
0.0;0.1571;0.0;0.0;0.0;1054.42147531;-0.15043651;2577.4480749;-0.16779586;-821.73544146;-0.0158971;554.20834272;0.02951163
0.0;0.0;0.0;0.0;0.1885;440.22501789;-0.00457447;2169.75744654;-0.12950593;-734.84213525;-0.01843544;970.69859216;0.80699128
0.0;0.1885;0.2199;0.1257;0.0;-2533.57203443;-1.6617039;10642.1213139;-8.32550477;-612.82396297;-0.03243434;15885.75282963;-237.94620884
0.0;0.1885;0.0;0.0;0.0;606.79872292;-0.04908687;2780.98415267;-0.23787177;-789.25672611;-0.02732889;643.33964253;0.11757516
0.0;0.2827;0.0;0.0;0.1571;-1174.62745946;-0.39389213;12302.75895798;-10.00638634;-584.44791239;-0.03306737;4069.36426461;-14.66480097
0.1257;0.0314;0.0;0.0;0.0942;-1337.15124817;-0.35184167;2900.80064972;-0.26973154;-551.84333129;-0.04771881;762.47330742;-0.08618221
0.0;0.0;0.0;0.0;0.0314;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1257;0.0;0.0;0.0628;0.0;898.5468985;-0.13080287;2003.13378934;-0.0967384;-661.57544706;-0.02036237;1017.29267358;2.95602995
0.0;0.1885;0.0;0.0;0.0;-922.51030293;-0.1717818;2262.72428636;-0.11472626;-721.0707512;-0.0127794;177.39530762;5.76530722
0.1257;0.0;0.1885;0.0;0.0;-675.39181786;-0.10428559;3975.80017799;-0.68347917;-593.51927559;-0.01954762;945.96809993;-0.40547165
0.0;0.2199;0.0;0.1257;0.0;-677.4195135;-0.09293591;6147.31308663;-1.93585647;-842.79102263;-0.08240513;919.31839635;-0.26058434
0.0;0.0;0.0;0.0628;0.0314;364.59047171;-0.00156795;1406.89619485;-0.01449534;3284.0591401;-125.23250033;578.54255325;-0.0426792
0.0;0.0;0.1885;0.0;0.0;344.32330003;-0.00698177;2456.89321997;-0.17136238;-642.36630525;-0.02183155;1083.149809;3.1796064
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.1885;0.0;0.0;0.3142;0.0;3042.99963862;-1.93825146;7478.82111504;-3.7603574;-476.76546052;-0.02543381;9295.49720763;-101.10379613
0.0;0.2513;0.0;0.1885;0.0;-4816.72544941;-5.01457617;7730.21581883;-3.69701759;-636.08318382;-0.03415839;2232.90323288;-3.58187402
0.0628;0.0;0.2199;0.0;0.0;549.43300653;-0.05056599;2339.58623791;-0.19262472;-715.07035748;-0.03030339;1056.98329233;-0.41546769
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.1257;0.0;0.1571;0.1257;0.0;18884.09851606;-80.06276806;9078.64582289;-5.42206443;-688.11744323;-0.03424187;2687.62870245;-5.24693058
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.1257;0.1571;0.0;0.2513;1220.26326395;-0.31496704;12578.87297692;-13.0228222;-540.64663284;-0.02874158;-4521.01227066;-23.34347879
0.0;0.0628;0.0;0.0;0.0;692.28715893;-0.02774619;1608.75902615;-0.01557991;-819.31971407;-0.00424187;517.38377087;-0.00100102
0.0628;0.0;0.0;0.0;0.0;689.17911963;-0.02862162;1592.32822645;-0.01492402;-790.36169689;-0.00511424;533.49414149;-0.00585306
0.0;0.0;0.0;0.0942;0.0;468.31962994;-0.00650186;1459.71555011;-0.012458;-712.52357617;-0.01216622;529.03128009;0.0021332
0.0;0.1257;0.0;0.0;0.0;1343.31125022;-0.21322378;1529.45493919;-0.01794441;-862.83735718;-0.01250915;581.45268198;-0.03738495
0.1571;0.0;0.0;0.0;0.0;499.97204361;-0.0313896;1916.09640141;-0.06697998;-724.00163941;-0.03030946;471.23916008;1.73416604
0.0;0.0;0.0;0.1885;0.1885;797.58481802;-0.06604923;2124.68381692;-0.22396819;-628.93380273;-0.028967;1187.02727113;-0.84017136
0.1885;0.0;0.0;0.0;0.0;666.83719932;-0.07309524;2315.24277768;-0.13805224;-673.62982535;-0.0210111;582.62534292;0.17591733
0.0;0.0;0.0;0.0;0.0628;414.68224783;-0.0011609;1471.06788706;-0.01030148;-770.81976225;-0.00729266;556.188815;-0.01585712
0.0;0.1885;0.0;0.0942;0.1571;-859.52786345;-0.14736596;17048.858047;-19.32051446;-590.64647685;-0.02984832;1493.14353242;-1.52134067
0.2199;0.0628;0.0;0.0;0.0;-10002.57926496;-28.46184063;4059.54485632;-0.69403968;-546.96443289;-0.02465007;1022.13108217;-0.44022982
0.2513;0.0314;0.0;0.0;0.0;-590.71146993;-0.10872826;7753.74626974;-2.89192137;-661.87838993;-0.03025275;901.13103107;-0.17307087
0.0;0.0628;0.0;0.0;0.0;333.31042716;-0.00050944;1436.38476695;-0.00790551;-814.86972664;-0.0071445;554.95207916;-0.03737301
0.2199;0.0;0.0;0.1571;0.2513;-626.89678613;-0.08566933;-15042.63658468;-20.32643525;-574.57277213;-0.03665401;-1485.63812946;-10.76490122
0.1571;0.0;0.1885;0.0314;0.1571;618.52463127;-0.09196473;-18462.89541091;-27.81041188;-654.48261399;-0.03291514;-220.95165223;-2.18099354
0.0;0.1885;0.0;0.0;0.0942;-760.40309942;-0.14108371;2048.44072362;-0.13772775;-743.35909459;-0.03792275;925.85073469;-0.03789796
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.2199;0.0;0.0;0.2513;0.0628;-1269.25700025;-0.31063581;13892.32893802;-14.92633158;-501.31955201;-0.04142042;4089.86907524;-19.93908702
