solver;pc;N;np;L2;H1;time
preonly;cholesky;20;1;2.65522831410018e-15;1.961676523879919e-12;1.83
preonly;cholesky;20;2;2.6552283141001817e-15;1.9616765238799185e-12;1.46
preonly;cholesky;20;4;2.6552283141001817e-15;1.9616765238799185e-12;1.51
preonly;cholesky;20;8;2.6552283141001837e-15;1.961676523879918e-12;1.54
preonly;cholesky;20;16;2.655228314100182e-15;1.9616765238799185e-12;2.41
preonly;cholesky;40;1;2.655308303479538e-15;1.9587524026805794e-12;2.83
preonly;cholesky;40;2;2.655308303479566e-15;1.958752402680578e-12;2.23
preonly;cholesky;40;4;2.6553083034795527e-15;1.9587524026805802e-12;2.10
preonly;cholesky;40;8;2.6553083034795555e-15;1.9587524026805782e-12;1.97
preonly;cholesky;80;1;2.6553140525098842e-15;1.958558328305943e-12;11.36
preonly;cholesky;80;2;2.655314052509819e-15;1.9585583283059472e-12;5.96
preonly;cholesky;80;4;2.655314052509813e-15;1.9585583283059472e-12;4.29
preonly;cholesky;80;8;2.6553140525098188e-15;1.958558328305947e-12;3.80
preonly;cholesky;160;1;2.6553143962290865e-15;1.9586028721704835e-12;71.91
preonly;cholesky;160;2;2.6553143962294754e-15;1.9586028721705324e-12;22.16
preonly;cholesky;160;4;2.6553143962294596e-15;1.9586028721705364e-12;15.99
preonly;cholesky;160;8;2.6553143962294726e-15;1.9586028721705352e-12;12.37
preonly;lu;20;1;2.655228314100181e-15;1.9616765238799185e-12;1.40
preonly;lu;20;2;2.6552283141001833e-15;1.9616765238799185e-12;1.46
preonly;lu;20;4;2.6552283141001825e-15;1.9616765238799177e-12;1.43
preonly;lu;20;8;2.655228314100184e-15;1.961676523879918e-12;1.48
preonly;lu;20;16;2.6552283141001817e-15;1.9616765238799177e-12;2.40
preonly;lu;40;1;2.6553083034795594e-15;1.958752402680579e-12;2.73
preonly;lu;40;2;2.655308303479558e-15;1.9587524026805754e-12;2.34
preonly;lu;40;4;2.655308303479551e-15;1.9587524026805794e-12;2.00
preonly;lu;40;8;2.655308303479551e-15;1.958752402680577e-12;1.98
preonly;lu;80;1;2.655314052509872e-15;1.9585583283059367e-12;9.98
preonly;lu;80;2;2.6553140525098215e-15;1.9585583283059444e-12;6.15
preonly;lu;80;4;2.6553140525098113e-15;1.958558328305947e-12;4.60
preonly;lu;80;8;2.655314052509827e-15;1.9585583283059492e-12;3.86
preonly;lu;160;1;2.655314396228964e-15;1.9586028721704867e-12;54.49
preonly;lu;160;2;2.6553143962294604e-15;1.9586028721705336e-12;27.85
preonly;lu;160;4;2.655314396229441e-15;1.9586028721705344e-12;18.70
preonly;lu;160;8;2.6553143962294655e-15;1.9586028721705364e-12;12.15
preonly;bjacobi;20;1;0.0006167398859856507;4.707027031877117;1.25
preonly;bjacobi;20;2;17.05619929200923;191120.2063551703;1.24
preonly;bjacobi;20;4;0.5287416692050843;5469.353833746226;1.27
preonly;bjacobi;20;8;22.43262476520978;232198.9330060247;1.31
preonly;bjacobi;20;16;12.782105507465038;126493.9064446992;2.18
preonly;bjacobi;40;1;0.0158294805089658;246.49415211883246;1.70
preonly;bjacobi;40;2;0.03373254422494133;517.2833870099977;1.54
preonly;bjacobi;40;4;1.0398489724299955;21464.742541457348;1.46
preonly;bjacobi;40;8;270.74800822908884;5761623.877001683;1.52
