solver;pc;N;np;L2;H1;time
preonly;cholesky;51200;1;1.0317855055913786e-13;2.1065066834197627e-11;12.87
preonly;cholesky;51200;2;1.0317855055915942e-13;2.1065066834189194e-11;92.34
preonly;lu;51200;1;1.0317855055913218e-13;2.106506683420262e-11;12.23
preonly;lu;51200;2;1.0317855055916033e-13;2.106506683418845e-11;84.04
preonly;bjacobi;51200;1;1.0317855055913972e-13;2.106506683420079e-11;14.00
preonly;bjacobi;51200;2;2.30692072573365e+137;1.25851996799157e+143;14.54
preonly;asm;51200;1;1.0317855055913972e-13;2.106506683420079e-11;15.50
preonly;asm;51200;2;3.793945711618683e+136;2.075720293657436e+142;13.19
gmres;cholesky;51200;1;1.03178550559154e-13;2.1065066834181378e-11;14.37
gmres;cholesky;51200;2;1.0317855055900345e-13;2.1065066834132316e-11;169.42
gmres;lu;51200;1;1.0317855055911696e-13;2.1065066834173122e-11;14.70
gmres;lu;51200;2;1.0317855055901985e-13;2.1065066834144025e-11;173.31
gmres;bjacobi;51200;1;1.0317855055903718e-13;2.106506683415922e-11;13.27
gmres;bjacobi;51200;2;1.0316050955746816e-13;2.1063588592993538e-11;14.66
gmres;asm;51200;1;1.0317855055903718e-13;2.106506683415922e-11;14.64
gmres;asm;51200;2;1.0317327022368317e-13;2.1064526467471977e-11;14.08
gcr;cholesky;51200;1;1.0317855055913962e-13;2.1065066834197576e-11;14.64
gcr;cholesky;51200;2;1.0317855055916151e-13;2.1065066834189133e-11;90.24
gcr;lu;51200;1;1.0317855055913325e-13;2.1065066834202513e-11;13.00
gcr;lu;51200;2;1.0317855055916437e-13;2.1065066834188616e-11;89.20
gcr;bjacobi;51200;1;1.031785505591402e-13;2.1065066834200807e-11;18.22
gcr;bjacobi;51200;2;1.0314967628218032e-13;2.1063604889692024e-11;15.12
gcr;asm;51200;1;1.031785505591402e-13;2.1065066834200807e-11;14.75
gcr;asm;51200;2;1.0314428408044597e-13;2.1062017397043835e-11;17.91
