solver;pc;dt;np;L2;H1;time
preonly;cholesky;5e-07;1;6.56369420735545e-14;1.6039226208946233e-11;1.31
preonly;cholesky;5e-07;2;6.56369420735546e-14;1.603922620894622e-11;1.11
preonly;cholesky;5e-07;4;6.56369420735546e-14;1.6039226208946216e-11;1.16
preonly;cholesky;5e-07;8;6.563694207355458e-14;1.6039226208946213e-11;1.32
preonly;cholesky;5e-07;16;6.563694207355457e-14;1.603922620894621e-11;2.15
preonly;cholesky;2.5e-07;1;1.0183145875793107e-13;2.105016185670985e-11;1.28
preonly;cholesky;2.5e-07;2;1.0183145875793097e-13;2.1050161856709852e-11;1.19
preonly;cholesky;2.5e-07;4;1.0183145875793098e-13;2.1050161856709852e-11;1.28
preonly;cholesky;2.5e-07;8;1.0183145875793097e-13;2.1050161856709852e-11;1.49
preonly;cholesky;2.5e-07;16;1.0183145875793097e-13;2.105016185670985e-11;2.60
preonly;cholesky;1.25e-07;1;9.392439597102481e-14;2.0185164792714323e-11;1.32
preonly;cholesky;1.25e-07;2;9.392439597102477e-14;2.0185164792714313e-11;1.39
preonly;cholesky;1.25e-07;4;9.392439597102478e-14;2.018516479271431e-11;1.51
preonly;cholesky;1.25e-07;8;9.392439597102477e-14;2.018516479271431e-11;1.76
preonly;cholesky;1.25e-07;16;9.392439597102477e-14;2.0185164792714307e-11;3.16
preonly;cholesky;6.25e-08;1;9.921655276428923e-14;2.0645227666312397e-11;1.35
preonly;cholesky;6.25e-08;2;9.921655276428921e-14;2.064522766631238e-11;1.83
preonly;cholesky;6.25e-08;4;9.921655276428918e-14;2.064522766631238e-11;2.00
preonly;cholesky;6.25e-08;8;9.92165527642892e-14;2.064522766631238e-11;2.35
preonly;cholesky;6.25e-08;16;9.92165527642892e-14;2.064522766631238e-11;4.26
preonly;cholesky;3.125e-08;1;1.0368233558942728e-13;2.1065603930025926e-11;1.44
preonly;cholesky;3.125e-08;2;1.0368233558942726e-13;2.106560393002598e-11;2.62
preonly;cholesky;3.125e-08;4;1.0368233558942726e-13;2.106560393002598e-11;2.95
preonly;cholesky;3.125e-08;8;1.0368233558942723e-13;2.106560393002598e-11;3.52
preonly;cholesky;3.125e-08;16;1.0368233558942726e-13;2.106560393002598e-11;6.69
preonly;cholesky;1.5625e-08;1;1.0356954414228952e-13;2.10774111550276e-11;1.62
preonly;cholesky;1.5625e-08;2;1.0356954414228949e-13;2.10774111550276e-11;4.29
preonly;cholesky;1.5625e-08;4;1.0356954414228945e-13;2.1077411155027597e-11;4.85
preonly;cholesky;1.5625e-08;8;1.0356954414228945e-13;2.1077411155027597e-11;5.88
preonly;cholesky;1.5625e-08;16;1.0356954414228945e-13;2.10774111550276e-11;11.51
preonly;cholesky;7.8125e-09;1;1.0368270508511416e-13;2.10702068723419e-11;1.99
preonly;cholesky;7.8125e-09;2;1.0368270508511412e-13;2.1070206872341896e-11;7.49
preonly;cholesky;7.8125e-09;4;1.0368270508511413e-13;2.1070206872341893e-11;8.67
preonly;cholesky;7.8125e-09;8;1.0368270508511412e-13;2.1070206872341896e-11;10.53
preonly;cholesky;7.8125e-09;16;1.0368270508511413e-13;2.1070206872341896e-11;21.06
preonly;cholesky;3.90625e-09;1;1.0340332306549417e-13;2.1055576316459377e-11;2.70
preonly;cholesky;3.90625e-09;2;1.0340332306549428e-13;2.1055576316459603e-11;13.74
preonly;cholesky;3.90625e-09;4;1.0340332306549431e-13;2.1055576316459603e-11;16.16
preonly;cholesky;3.90625e-09;8;1.0340332306549431e-13;2.1055576316459455e-11;19.90
preonly;cholesky;3.90625e-09;16;1.0340332306549428e-13;2.105557631645945e-11;40.25
preonly;lu;5e-07;1;6.563694207355453e-14;1.6039226208946245e-11;0.94
preonly;lu;5e-07;2;6.563694207355457e-14;1.6039226208946223e-11;1.09
preonly;lu;5e-07;4;6.563694207355457e-14;1.6039226208946226e-11;1.16
preonly;lu;5e-07;8;6.563694207355457e-14;1.6039226208946223e-11;1.29
preonly;lu;5e-07;16;6.563694207355458e-14;1.6039226208946223e-11;2.15
preonly;lu;2.5e-07;1;1.0183145875793095e-13;2.1050161856709843e-11;0.95
preonly;lu;2.5e-07;2;1.0183145875793099e-13;2.105016185670989e-11;1.22
preonly;lu;2.5e-07;4;1.0183145875793103e-13;2.1050161856709888e-11;1.29
preonly;lu;2.5e-07;8;1.0183145875793102e-13;2.1050161856709888e-11;1.52
preonly;lu;2.5e-07;16;1.0183145875793099e-13;2.1050161856709885e-11;2.51
preonly;lu;1.25e-07;1;9.392439597102481e-14;2.018516479271431e-11;0.98
preonly;lu;1.25e-07;2;9.392439597102481e-14;2.018516479271434e-11;1.39
preonly;lu;1.25e-07;4;9.392439597102482e-14;2.018516479271434e-11;1.55
preonly;lu;1.25e-07;8;9.392439597102483e-14;2.018516479271432e-11;1.75
preonly;lu;1.25e-07;16;9.392439597102483e-14;2.0185164792714304e-11;3.11
preonly;lu;6.25e-08;1;9.921655276428922e-14;2.064522766631239e-11;1.02
preonly;lu;6.25e-08;2;9.921655276428921e-14;2.0645227666312426e-11;1.80
preonly;lu;6.25e-08;4;9.921655276428918e-14;2.0645227666312426e-11;2.00
preonly;lu;6.25e-08;8;9.921655276428917e-14;2.0645227666312426e-11;2.32
preonly;lu;6.25e-08;16;9.921655276428918e-14;2.064522766631243e-11;4.26
preonly;lu;3.125e-08;1;1.0368233558942723e-13;2.106560393002595e-11;1.10
preonly;lu;3.125e-08;2;1.0368233558942728e-13;2.106560393002596e-11;2.61
preonly;lu;3.125e-08;4;1.036823355894273e-13;2.1065603930025965e-11;2.95
preonly;lu;3.125e-08;8;1.0368233558942728e-13;2.1065603930025965e-11;3.52
preonly;lu;3.125e-08;16;1.0368233558942728e-13;2.1065603930025968e-11;6.57
preonly;lu;1.5625e-08;1;1.0356954414228952e-13;2.1077411155027542e-11;1.29
preonly;lu;1.5625e-08;2;1.0356954414228945e-13;2.107741115502763e-11;4.24
preonly;lu;1.5625e-08;4;1.0356954414228944e-13;2.107741115502763e-11;4.81
preonly;lu;1.5625e-08;8;1.0356954414228947e-13;2.1077411155027684e-11;5.78
preonly;lu;1.5625e-08;16;1.0356954414228945e-13;2.1077411155027662e-11;11.43
preonly;lu;7.8125e-09;1;1.0368270508511411e-13;2.1070206872341844e-11;1.66
preonly;lu;7.8125e-09;2;1.0368270508511417e-13;2.107020687234187e-11;7.42
preonly;lu;7.8125e-09;4;1.0368270508511417e-13;2.107020687234187e-11;8.53
preonly;lu;7.8125e-09;8;1.0368270508511412e-13;2.107020687234171e-11;10.42
preonly;lu;7.8125e-09;16;1.0368270508511418e-13;2.1070206872341828e-11;21.29
preonly;lu;3.90625e-09;1;1.0340332306549423e-13;2.105557631645944e-11;2.35
preonly;lu;3.90625e-09;2;1.034033230654942e-13;2.105557631645955e-11;13.74
preonly;lu;3.90625e-09;4;1.0340332306549422e-13;2.105557631645955e-11;16.04
preonly;lu;3.90625e-09;8;1.0340332306549417e-13;2.1055576316459555e-11;19.89
preonly;lu;3.90625e-09;16;1.0340332306549418e-13;2.1055576316459545e-11;40.69
preonly;bjacobi;5e-07;1;6.563694207355452e-14;1.6039226208946307e-11;0.95
preonly;bjacobi;5e-07;2;9.677139204635788e-07;0.013601730691155108;1.03
preonly;bjacobi;5e-07;4;521.7055323710885;7332847.036282861;1.06
preonly;bjacobi;5e-07;8;19859972.212267566;279142376311.1855;1.18
preonly;bjacobi;5e-07;16;2799403907.1395826;39285242901454.58;1.88
preonly;bjacobi;2.5e-07;1;1.0183145875793109e-13;2.105016185670988e-11;0.98
preonly;bjacobi;2.5e-07;2;26.187531271240523;530642.4256022868;1.04
preonly;bjacobi;2.5e-07;4;45551906871.2383;923026080717624.1;1.09
preonly;bjacobi;2.5e-07;8;1.0870904767855838e+21;2.202790028108375e+25;1.18
preonly;bjacobi;2.5e-07;16;7.946437915909455e+25;1.6102002223604863e+30;1.90
preonly;bjacobi;1.25e-07;1;9.392439597102474e-14;2.0185164792714297e-11;0.99
preonly;bjacobi;1.25e-07;2;427981192.0435186;12558121737359.912;1.07
preonly;bjacobi;1.25e-07;4;2.7853890852372566e+19;8.173082338339351e+23;1.12
preonly;bjacobi;1.25e-07;8;2.564358491963711e+24;7.524519002002875e+28;1.20
preonly;bjacobi;1.25e-07;16;1.1256074261045514e+27;3.302835579760703e+31;1.97
preonly;bjacobi;6.25e-08;1;9.921655276428923e-14;2.0645227666312377e-11;1.05
preonly;bjacobi;6.25e-08;2;9.916093071234179e-14;2.060400607315785e-11;1.11
preonly;bjacobi;6.25e-08;4;9.922479633276819e-14;2.0617715307042327e-11;1.15
preonly;bjacobi;6.25e-08;8;9.93623461632801e-14;2.0768357472435856e-11;1.24
preonly;bjacobi;6.25e-08;16;9.9549516965604e-14;2.067175725899216e-11;2.12
preonly;bjacobi;3.125e-08;1;1.0368233558942726e-13;2.1065603930025952e-11;1.12
preonly;bjacobi;3.125e-08;2;1.0371203979636951e-13;2.109956315273548e-11;1.19
preonly;bjacobi;3.125e-08;4;1.0368016018352067e-13;2.109998328137756e-11;1.22
preonly;bjacobi;3.125e-08;8;1.0361020285222993e-13;2.1083707465180124e-11;1.37
preonly;bjacobi;3.125e-08;16;1.0350660998072684e-13;2.1061011205996816e-11;2.20
preonly;bjacobi;1.5625e-08;1;1.035695441422895e-13;2.1077411155027613e-11;1.30
preonly;bjacobi;1.5625e-08;2;1.0362018617182854e-13;2.1166078829382607e-11;1.36
preonly;bjacobi;1.5625e-08;4;1.0356186166443415e-13;2.116201527288123e-11;1.41
preonly;bjacobi;1.5625e-08;8;1.0343293355333679e-13;2.1098534031862048e-11;1.52
preonly;bjacobi;1.5625e-08;16;1.0323769022895901e-13;2.1217771319974943e-11;2.50
preonly;bjacobi;7.8125e-09;1;1.036827050851142e-13;2.107020687234189e-11;1.66
preonly;bjacobi;7.8125e-09;2;1.0373981688732152e-13;2.115444590367974e-11;1.76
preonly;bjacobi;7.8125e-09;4;1.0367373008090061e-13;2.1144582409066665e-11;1.79
preonly;bjacobi;7.8125e-09;8;1.0353127732647263e-13;2.1055535589224393e-11;1.89
preonly;bjacobi;7.8125e-09;16;1.033134069811962e-13;2.1068473628888335e-11;3.23
